iter	Passed	Remaining
356	1616	2911
357	1620	2906
358	1625	2901
359	1630	2898
360	1634	2893
361	1638	2887
362	1642	2881
363	1646	2876
364	1650	2871
365	1654	2865
366	1658	2860
367	1663	2856
368	1667	2851
369	1671	2846
370	1675	2840
371	1680	2837
372	1685	2832
373	1689	2828
374	1694	2824
375	1699	2820
376	1704	2817
377	1709	2812
378	1714	2808
379	1718	2804
380	1722	2798
381	1727	2795
382	1732	2790
383	1736	2785
384	1741	2781
385	1745	2776
386	1749	2770
387	1753	2766
388	1758	2761
389	1762	2757
390	1767	2752
391	1771	2747
392	1776	2743
393	1780	2738
394	1784	2733
395	1788	2728
396	1794	2724
397	1798	2719
398	1802	2715
399	1806	2710
400	1812	2706
401	1816	2701
402	1820	2696
403	1825	2692
404	1829	2687
405	1833	2682
406	1837	2677
407	1841	2671
408	1845	2666
409	1849	2661
410	1853	2656
411	1858	2653
412	1862	2647
413	1867	2643
414	1871	2638
415	1874	2632
416	1878	2626
417	1882	2621
418	1886	2616
419	1892	2612
420	1896	2607
421	1900	2602
422	1904	2597
423	1909	2593
424	1913	2589
425	1917	2584
426	1923	2580
427	1927	2575
428	1931	2570
429	1935	2565
430	1939	2560
431	1943	2555
432	1947	2550
433	1951	2545
434	1956	2541
435	1960	2536
436	1965	2531
437	1969	2526
438	1974	2523
439	1978	2518
440	1982	2513
441	1987	2509
442	1991	2504
443	1995	2499
444	2001	2495
445	2006	2492
446	2010	2487
447	2014	2482
448	2018	2477
449	2023	2473
450	2028	2468
451	2032	2463
452	2036	2459
453	2040	2454
454	2045	2449
455	2049	2444
456	2054	2441
457	2059	2436
458	2063	2431
459	2067	2427
460	2072	2423
461	2076	2418
462	2080	2413
463	2085	2409
464	2089	2404
465	2093	2399
466	2098	2394
467	2103	2391
468	2107	2386
469	2111	2381
470	2115	2376
471	2120	2372
472	2125	2368
473	2129	2362
474	2134	2358
475	2138	2353
476	2142	2348
477	2146	2343
478	2151	2339
479	2155	2334
480	2159	2329
481	2163	2324
482	2168	2321
483	2172	2315
484	2176	2310
485	2180	2305
486	2185	2302
487	2189	2297
488	2193	2292
489	2198	2288
490	2202	2283
491	2206	2278
492	2210	2273
493	2215	2269
494	2220	2265
495	2224	2260
496	2228	2255
497	2233	2251
498	2237	2246
499	2241	2241
500	2245	2236
501	2250	2233
502	2255	2228
503	2259	2223
504	2264	2219
505	2268	2214
506	2272	2209
507	2276	2205
508	2281	2201
509	2285	2196
510	2290	2191
511	2294	2187
512	2300	2183
513	2304	2178
514	2308	2173
515	2314	2170
516	2318	2165
517	2322	2160
518	2326	2156
519	2331	2152
520	2335	2147
521	2339	2142
522	2344	2138
523	2349	2134
524	2354	2129
525	2358	2125
526	2363	2121
527	2368	2117
528	2372	2112
529	2377	2108
530	2381	2103
531	2386	2099
532	2391	2095
533	2396	2091
534	2401	2086
535	2405	2082
536	2409	2077
537	2414	2073
538	2418	2068
539	2422	2063
540	2427	2059
541	2431	2054
542	2435	2049
543	2439	2044
544	2444	2040
545	2449	2036
546	2453	2031
547	2458	2027
548	2463	2024
549	2468	2019
550	2472	2014
551	2477	2010
552	2481	2006
553	2485	2001
554	2490	1996
555	2495	1992
556	2498	1987
557	2502	1982
558	2507	1978
559	2512	1974
560	2516	1969
561	2521	1965
562	2525	1960
563	2529	1955
564	2533	1950
565	2537	1945
566	2542	1941
567	2547	1937
568	2551	1932
569	2556	1928
570	2561	1924
571	2565	1919
572	2570	1915
573	2575	1911
574	2581	1907
575	2585	1903
576	2589	1898
577	2593	1893
578	2599	1889
579	2603	1885
580	2607	1880
581	2611	1875
582	2615	1870
583	2619	1866
584	2624	1861
585	2629	1857
586	2633	1853
587	2638	1848
588	2642	1843
589	2647	1839
590	2652	1835
591	2656	1831
592	2662	1827
593	2666	1822
594	2670	1817
595	2674	1812
596	2679	1808
597	2683	1803
598	2687	1799
599	2692	1794
600	2697	1790
601	2701	1785
602	2705	1781
603	2709	1776
604	2713	1771
605	2717	1767
606	2721	1762
607	2726	1758
608	2730	1753
609	2735	1749
610	2739	1744
611	2744	1740
612	2749	1735
613	2753	1731
614	2760	1727
615	2764	1723
616	2769	1718
617	2773	1714
618	2778	1710
619	2783	1705
620	2787	1701
621	2792	1697
622	2796	1692
623	2801	1687
624	2805	1683
625	2809	1678
626	2813	1673
627	2817	1669
628	2821	1664
629	2827	1660
630	2831	1655
631	2835	1650
632	2839	1646
633	2843	1641
634	2848	1637
635	2852	1632
636	2857	1628
637	2861	1623
638	2865	1618
639	2869	1613
640	2874	1610
641	2878	1605
642	2883	1600
643	2889	1597
644	2893	1592
645	2897	1587
646	2902	1583
647	2907	1579
648	2911	1574
649	2915	1569
650	2919	1565
651	2924	1561
652	2928	1556
653	2933	1551
654	2937	1547
655	2942	1543
656	2947	1538
657	2951	1534
658	2956	1529
659	2960	1525
660	2965	1520
661	2969	1516
662	2974	1511
663	2978	1506
664	2982	1502
665	2987	1497
666	2991	1493
667	2994	1488
668	2998	1483
669	3003	1479
670	3007	1474
671	3011	1469
672	3015	1465
673	3020	1461
674	3024	1456
675	3028	1451
676	3032	1447
677	3038	1442
678	3042	1438
679	3046	1433
680	3050	1429
681	3055	1424
682	3059	1420
683	3063	1415
684	3068	1411
685	3072	1406
686	3076	1401
687	3080	1396
688	3086	1393
689	3090	1388
690	3094	1383
691	3098	1379
692	3102	1374
693	3107	1370
694	3111	1365
695	3116	1361
696	3121	1357
697	3125	1352
698	3129	1347
699	3135	1343
700	3139	1339
701	3143	1334
702	3147	1329
703	3152	1325
704	3158	1321
705	3162	1316
706	3167	1312
707	3171	1307
708	3175	1303
709	3179	1298
710	3184	1294
711	3188	1289
712	3192	1285
713	3197	1280
714	3201	1275
715	3205	1271
716	3209	1266
717	3213	1262
718	3218	1257
719	3222	1253
720	3226	1248
721	3231	1244
722	3235	1239
723	3239	1234
724	3243	1230
725	3249	1226
726	3253	1221
727	3257	1217
728	3261	1212
729	3266	1208
730	3271	1203
731	3275	1199
732	3280	1194
733	3284	1190
734	3288	1185
735	3292	1181
736	3297	1176
737	3301	1172
738	3305	1167
739	3309	1162
740	3315	1158
741	3319	1154
742	3324	1149
743	3329	1145
744	3333	1141
745	3337	1136
746	3341	1131
747	3347	1127
748	3351	1123
749	3355	1118
750	3359	1113
751	3364	1109
752	3368	1105
753	3373	1100
754	3378	1096
755	3382	1091
756	3386	1087
757	3390	1082
758	3394	1077
759	3398	1073
760	3402	1068
761	3406	1063
762	3411	1059
763	3415	1055
764	3419	1050
765	3423	1045
766	3429	1041
767	3433	1037
768	3438	1032
769	3442	1028
770	3447	1023
771	3451	1019
772	3455	1014
773	3460	1010
774	3464	1005
775	3468	1001
776	3472	996
777	3477	992
778	3482	987
779	3486	983
780	3490	978
781	3494	974
782	3498	969
783	3502	964
784	3506	960
785	3511	956
786	3515	951
787	3519	946
788	3523	942
789	3528	937
790	3532	933
791	3536	928
792	3541	924
793	3545	919
794	3549	915
795	3554	910
796	3560	906
797	3564	902
798	3568	897
799	3572	893
800	3577	888
801	3581	884
802	3585	879
803	3590	875
804	3594	870
805	3598	866
806	3602	861
807	3608	857
808	3612	852
809	3616	848
810	3620	843
811	3625	839
812	3629	834
813	3633	830
814	3638	825
815	3642	821
816	3646	816
817	3651	812
818	3656	808
819	3660	803
820	3665	799
821	3669	794
822	3674	790
823	3679	785
824	3683	781
825	3688	776
826	3692	772
827	3695	767
828	3699	763
829	3705	759
830	3710	754
831	3714	749
832	3718	745
833	3723	741
834	3727	736
835	3731	732
836	3736	727
837	3741	723
838	3745	718
839	3749	714
840	3754	709
841	3759	705
842	3763	700
843	3767	696
844	3772	691
845	3776	687
846	3780	682
847	3784	678
848	3788	673
849	3792	669
850	3796	664
851	3801	660
852	3806	655
853	3810	651
854	3814	646
855	3818	642
856	3822	637
857	3827	633
858	3831	628
859	3836	624
860	3840	620
861	3844	615
862	3848	610
863	3853	606
864	3857	602
865	3861	597
866	3866	593
867	3871	588
868	3875	584
869	3878	579
870	3883	575
871	3887	570
872	3891	566
873	3896	561
874	3900	557
875	3904	552
876	3909	548
877	3914	543
878	3918	539
879	3922	534
880	3927	530
881	3931	526
882	3936	521
883	3941	517
884	3945	512
885	3949	508
886	3954	503
887	3959	499
888	3964	494
889	3968	490
890	3973	486
891	3977	481
892	3981	477
893	3985	472
894	3990	468
895	3996	463
896	4000	459
897	4004	454
898	4009	450
899	4013	445
900	4017	441
901	4022	437
902	4026	432
903	4030	428
904	4034	423
905	4040	419
906	4044	414
907	4048	410
908	4053	405
909	4058	401
910	4062	396
911	4066	392
912	4071	387
913	4075	383
914	4079	378
915	4083	374
916	4087	369
917	4092	365
918	4096	361
919	4100	356
920	4106	352
921	4110	347
922	4114	343
923	4118	338
924	4123	334
925	4127	329
926	4131	325
927	4136	320
928	4141	316
929	4145	311
930	4149	307
931	4154	303
932	4158	298
933	4162	294
934	4166	289
935	4171	285
936	4175	280
937	4180	276
938	4184	271
939	4188	267
940	4193	262
941	4198	258
942	4203	254
943	4207	249
944	4211	245
945	4216	240
946	4221	236
947	4225	231
948	4229	227
949	4233	222
950	4238	218
951	4242	213
952	4246	209
953	4251	204
954	4255	200
955	4259	196
956	4263	191
957	4267	187
958	4271	182
959	4275	178
960	4279	173
961	4284	169
962	4289	164
963	4293	160
964	4298	155
965	4303	151
966	4307	146
967	4310	142
968	4315	138
969	4319	133
970	4324	129
971	4328	124
972	4333	120
973	4337	115
974	4341	111
975	4345	106
976	4351	102
977	4355	97
978	4360	93
979	4364	89
980	4368	84
981	4372	80
982	4376	75
983	4381	71
984	4385	66
985	4389	62
986	4393	57
987	4398	53
988	4403	48
989	4407	44
990	4411	40
991	4416	35
992	4420	31
993	4424	26
994	4429	22
995	4434	17
996	4437	13
997	4441	8
998	4446	4
999	4451	0
