iter	Logloss
0	0.6826415891
1	0.6741502812
2	0.665465428
3	0.6571160198
4	0.6489897069
5	0.6416624798
6	0.6348090489
7	0.6280412867
8	0.6219662506
9	0.6158808343
10	0.6103046821
11	0.6059437473
12	0.6000649434
13	0.5943040202
14	0.5890386579
15	0.5842050222
16	0.5798034145
17	0.5750690028
18	0.5711404375
19	0.5671513005
20	0.5630873721
21	0.5597287656
22	0.5563715022
23	0.5535893718
24	0.5504895801
25	0.5471439921
26	0.5441184771
27	0.541217844
28	0.5383120359
29	0.5356574271
30	0.5333603963
31	0.5308778302
32	0.528588996
33	0.5261751579
34	0.5242696101
35	0.5223204268
36	0.5203873423
37	0.518535469
38	0.5166693611
39	0.5146992671
40	0.5128902981
41	0.5115143306
42	0.5098819064
43	0.5084134595
44	0.506822474
45	0.5053600863
46	0.5039536487
47	0.502446036
48	0.5011257435
49	0.5003483011
50	0.4991571173
51	0.4980350114
52	0.4970279888
53	0.4958389311
54	0.4948385275
55	0.4938497329
56	0.4929681722
57	0.4920640984
58	0.4910714707
59	0.490077548
60	0.4891001495
61	0.488069992
62	0.4872136261
63	0.4865872031
64	0.4858333406
65	0.485174207
66	0.4843334362
67	0.4833684874
68	0.4827966093
69	0.4820338455
70	0.4813423813
71	0.4807276669
72	0.4800082643
73	0.4793681668
74	0.4788813398
75	0.4782952223
76	0.4778120042
77	0.4772362313
78	0.4766065243
79	0.4764451819
80	0.4758111327
81	0.4754004813
82	0.4750963043
83	0.4744216206
84	0.4735906889
85	0.4730231967
86	0.4724496004
87	0.472070255
88	0.4716268064
89	0.4711774796
90	0.4708353282
91	0.4704387238
92	0.4699469395
93	0.469399071
94	0.4689843366
95	0.4683249986
96	0.4678665888
97	0.4673445988
98	0.4669269882
99	0.4664534295
100	0.4659530098
101	0.4655808015
102	0.4652276107
103	0.4647210005
104	0.4642964654
105	0.4639841935
106	0.4634465367
107	0.4631794587
108	0.4627613212
109	0.4621650827
110	0.4619511441
111	0.4615848813
112	0.4611594393
113	0.4607208226
114	0.4603402515
115	0.4600682476
116	0.4597607601
117	0.4597311673
118	0.4595873804
119	0.4593067926
120	0.4590359711
121	0.4586852671
122	0.4583664296
123	0.4580257731
124	0.4576739874
125	0.4573307273
126	0.4569693122
127	0.456658751
128	0.4563623503
129	0.4560836856
130	0.4557112673
131	0.4552751677
132	0.4548804662
133	0.4546584741
134	0.4543739922
135	0.4541280997
136	0.4537926788
137	0.4535569887
138	0.4533067546
139	0.4530158294
140	0.4527885583
141	0.4522980439
142	0.4519730587
143	0.4517610988
144	0.451591005
145	0.45136395
146	0.4510773244
147	0.4508595864
148	0.4505544393
149	0.4503642399
150	0.4501120337
151	0.4498805753
152	0.4495727563
